"","samp_full","Pop","PopID","Region","Ecotype","label","Region_color","Ecotype_color","PopID_color","Gsub_PC1","Gsub_PC2","G_AllInv_PC1","G_AllInv_PC2","InvHclustOrder","InvHclustK5"
"94",17218,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17218","blue4","darkcyan","#006400BF",-0.0546812660155499,0.0583887938288404,0.022042943663195,-0.111157225554789,214,2
"95",17219,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17219","blue4","darkcyan","#006400BF",-0.050306004872141,0.0363246302052373,0.0179450381589329,0.006366678531623,282,4
"96",17221,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17221","blue4","darkcyan","#006400BF",-0.0621532950103686,0.00361534172415197,0.05270875273241,-0.0374988659047934,183,1
"97",17224,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17224","blue4","darkcyan","#006400BF",-0.0540104704171477,0.017089966019365,0.0306934493765833,0.020317446320673,186,1
"98",17226,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17226","blue4","darkcyan","#006400BF",-0.0660245301475983,-0.00957672018375797,0.0681376648240716,-0.0448515673856687,49,1
"99",17230,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17230","blue4","darkcyan","#006400BF",-0.0584595974421971,-0.00369997790456165,0.0491524043973283,-0.00920988089746605,136,1
"100",17233,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17233","blue4","darkcyan","#006400BF",-0.0659354170321947,0.00830228754439149,0.0531056127062301,-0.0412712290566493,18,1
"101",17234,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17234","blue4","darkcyan","#006400BF",-0.0548409715267629,0.0267902854114812,0.0253212717464745,0.0117763562090265,44,4
"102",17235,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17235","blue4","darkcyan","#006400BF",-0.0663947300190017,0.000920114286619367,0.0616203017594442,-0.0545944488199549,257,2
"103",17236,"Pop4","GoM.Cashes.Olive","GoM","1-Nearshore","GoM_1-Nearshore_GoM.Cashes.Olive_17236","blue4","darkcyan","#006400BF",-0.0523479564360724,0.0251279872892872,0.0256425974141138,0.0125169987800727,179,4
